PID Type,Velocity (m/s),Speed (RPS),Speed (RPM),RMSE,MAE
p,4.827343068965015,6.29750419201789,377.85025152107335,2.4962225408359218,1.9843650459353939
pi,4.871844815523452,6.355558888255576,381.3335332953346,2.4868830230578314,2.0145421667341106
pid,4.889911104752859,6.379127242634168,382.7476345580501,2.2981834706201703,2.009034974042049
